Word	VerbType	Transivity	Tense	Aspect	Person	Phrasal	IsInfinitive	howCommon	commonRank	baseForm
consonantized	--	Ambitransitive	Past	--	N/A	No	null	-1.0	-1	consonant	false
opacifying	--	--	Present	--	N/A	No	null	-1.0	-1	opacifie	false
obscuration	--	Transitive	--	--	N/A	No	null	-1.0	-1	obscurate	false
hitch	--	Ambitransitive	--	--	N/A	No	null	3.57E-4	14422	hitch	false
intermazing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	intermaze	false
decompound	--	Transitive	--	--	N/A	No	null	-1.0	-1	compound	false
imbruing	--	Transitive	Present	--	N/A	No	null	-1.0	-1	imbru	false
restrung	--	--	--	--	N/A	No	null	-1.0	-1	restrung	false
unstate	--	Transitive	--	--	N/A	No	null	-1.0	-1	state	false
expostulated	--	Intransitive	Past	--	N/A	No	null	1.4E-5	76897	expostulate	false
automatize	--	tran=np	--	--	N/A	No	null	-1.0	-1	automate	false
recopied	--	Transitive	Past	--	N/A	No	null	-1.0	-1	copy	false
vellicate	--	--	--	--	N/A	No	null	-1.0	-1	vellicate	false
stubbed	--	--	Past	--	N/A	No	null	9.0E-5	31725	stub	false
brutalizing	--	Ambitransitive	Present	--	N/A	No	null	-1.0	-1	brutale	false
budged	--	--	Past	--	N/A	No	null	1.5E-5	72882	budg	false
resshot	--	--	--	--	N/A	No	null	-1.0	-1	resshot	false
preverifying	--	Transitive	Present	--	N/A	No	null	-1.0	-1	preverifie	false
marvel	--	tran=pphr(at+np)+tran=pphr(at+whfincomp)+tran=fincomp(o)	--	--	N/A	No	null	2.22E-4	19237	marvel	false
purpled	--	--	Past	--	N/A	No	null	-1.0	-1	purpl	false
delated	--	Transitive	Past	--	N/A	No	null	-1.0	-1	delate	false
illuminated	--	--	Past	--	N/A	No	null	5.72E-4	10733	illuminate	false
debruising	--	Transitive	Present	--	N/A	No	null	-1.0	-1	debruis	false
overgird	--	Transitive	--	--	N/A	No	null	-1.0	-1	gird	false
underachieve	--	Intransitive	--	--	N/A	No	null	-1.0	-1	achieve	false
enfranchise	--	Transitive	--	--	N/A	No	null	-1.0	-1	enfranchise	false
reaffront	--	Transitive	--	--	N/A	No	null	-1.0	-1	affront	false
